Subject,Task,Contrast,Gradient,Value
13,Context,Probe_MCB,2,0.2423
13,Context,Probe_MCB,3,0.0234
13,Context,Dots_SCB,1,-0.0312
13,Context,Dots_SCB,2,0.155
13,Context,Dots_SCB,3,0.0251
13,Context,Dots_MCB,1,0.0055
13,Context,Dots_MCB,2,0.1258
13,Context,Dots_MCB,3,-0.022
13,Context,Decision_SCB,1,-0.0268
13,Context,Decision_SCB,2,0.2216
13,Context,Decision_SCB,3,0.024
13,Context,Decision_MCB,1,0.0076
13,Context,Decision_MCB,2,0.2468
13,Context,Decision_MCB,3,0.0687
14,Semantic,Probe_SCB,1,-0.1691
14,Semantic,Probe_SCB,2,0.1516
14,Semantic,Probe_SCB,3,0.0018
14,Semantic,Probe_MCB,1,-0.1613
14,Semantic,Probe_MCB,2,0.1538
14,Semantic,Probe_MCB,3,-0.0568
14,Semantic,Dots_SCB,1,-0.1118
14,Semantic,Dots_SCB,2,0.0111
14,Semantic,Dots_SCB,3,0.0107
14,Semantic,Dots_MCB,1,-0.0258
14,Semantic,Dots_MCB,2,-0.0585
14,Semantic,Dots_MCB,3,0.0658
14,Semantic,Decision_SCB,1,-0.0281
14,Semantic,Decision_SCB,2,0.2799
14,Semantic,Decision_SCB,3,-0.0403
14,Semantic,Decision_MCB,1,-0.1199
14,Semantic,Decision_MCB,2,0.3302
14,Semantic,Decision_MCB,3,-0.0104
14,Context,Probe_SCB,1,-0.1434
14,Context,Probe_SCB,2,0.2512
14,Context,Probe_SCB,3,0.0234
14,Context,Probe_MCB,1,-0.1668
14,Context,Probe_MCB,2,0.2283
14,Context,Probe_MCB,3,-0.0038
14,Context,Dots_SCB,1,0.0384
14,Context,Dots_SCB,2,0.0622
14,Context,Dots_SCB,3,0.0251
14,Context,Dots_MCB,1,0.0413
14,Context,Dots_MCB,2,0.0809
14,Context,Dots_MCB,3,0.0261
14,Context,Decision_SCB,1,-0.1925
14,Context,Decision_SCB,2,0.3205
14,Context,Decision_SCB,3,0.015
14,Context,Decision_MCB,1,-0.192
14,Context,Decision_MCB,2,0.3244
14,Context,Decision_MCB,3,0.0191
15,Semantic,Probe_SCB,1,-0.1166
15,Semantic,Probe_SCB,2,0.1681
15,Semantic,Probe_SCB,3,0.0159
15,Semantic,Probe_MCB,1,-0.0728
15,Semantic,Probe_MCB,2,0.1854
15,Semantic,Probe_MCB,3,-0.0176
15,Semantic,Dots_SCB,1,-0.0576
15,Semantic,Dots_SCB,2,0.041
15,Semantic,Dots_SCB,3,-0.0325
15,Semantic,Dots_MCB,1,0.029
15,Semantic,Dots_MCB,2,0.0399
15,Semantic,Dots_MCB,3,-0.0612
15,Semantic,Decision_SCB,1,-0.0298
15,Semantic,Decision_SCB,2,0.3293
15,Semantic,Decision_SCB,3,-0.0077
15,Semantic,Decision_MCB,1,-0.1451
15,Semantic,Decision_MCB,2,0.3295
15,Semantic,Decision_MCB,3,0.0893
15,Context,Probe_SCB,1,-0.0539
15,Context,Probe_SCB,2,0.2918
15,Context,Probe_SCB,3,0.0115
15,Context,Probe_MCB,1,-0.0538
15,Context,Probe_MCB,2,0.29
15,Context,Probe_MCB,3,-0.0003
15,Context,Dots_SCB,1,0.0436
15,Context,Dots_SCB,2,0.1037
15,Context,Dots_SCB,3,0.0031
15,Context,Dots_MCB,1,0.1245
15,Context,Dots_MCB,2,0.0968
15,Context,Dots_MCB,3,-0.0549
15,Context,Decision_SCB,1,0.0117
15,Context,Decision_SCB,2,0.3544
15,Context,Decision_SCB,3,0.0071
15,Context,Decision_MCB,1,-0.1257
15,Context,Decision_MCB,2,0.3957
15,Context,Decision_MCB,3,0.0186
16,Semantic,Probe_SCB,1,-0.0192
16,Semantic,Probe_SCB,2,-0.0106
16,Semantic,Probe_SCB,3,0.1768
16,Semantic,Probe_MCB,1,0.0315
16,Semantic,Probe_MCB,2,0.0246
16,Semantic,Probe_MCB,3,0.1105
16,Semantic,Dots_SCB,1,-0.0293
16,Semantic,Dots_SCB,2,-0.0984
16,Semantic,Dots_SCB,3,0.2133
16,Semantic,Dots_MCB,1,-0.0499
16,Semantic,Dots_MCB,2,-0.0705
16,Semantic,Dots_MCB,3,0.2089
16,Semantic,Decision_SCB,1,-0.0525
16,Semantic,Decision_SCB,2,0.3719
16,Semantic,Decision_SCB,3,-0.0695
16,Semantic,Decision_MCB,1,-0.073
16,Semantic,Decision_MCB,2,0.3243
16,Semantic,Decision_MCB,3,-0.0514
16,Context,Probe_SCB,1,0.009
16,Context,Probe_SCB,2,0.2609
16,Context,Probe_SCB,3,0.0212
16,Context,Probe_MCB,1,-0.0426
16,Context,Probe_MCB,2,0.2312
16,Context,Probe_MCB,3,0.0687
16,Context,Dots_SCB,1,0.149
16,Context,Dots_SCB,2,-0.0205
16,Context,Dots_SCB,3,-0.0061
16,Context,Dots_MCB,1,0.175
16,Context,Dots_MCB,2,-0.0422
16,Context,Dots_MCB,3,-0.0071
